row,col,digit
0,0,1
0,2,1
0,3,0
0,4,1
0,5,1
0,7,0
0,8,0
0,9,1
0,10,1
0,12,1
0,13,0
0,14,1
0,15,1
0,16,1
0,17,0
0,18,0
0,19,1
0,21,0
0,22,0
0,24,1
0,26,1
0,27,0
0,28,0
0,29,0
0,30,1
0,31,1
0,32,0
0,33,1
0,36,0
0,37,1
0,38,1
0,39,1
0,41,1
0,43,1
0,44,1
0,45,0
0,47,0
1,0,1
1,1,1
1,3,0
1,6,1
1,7,1
1,9,1
1,10,1
1,11,0
1,12,1
1,13,0
1,14,0
1,15,0
1,16,1
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,24,1
1,25,0
1,26,0
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,0
1,33,1
1,34,0
1,35,0
1,36,1
1,37,1
1,38,1
1,40,1
1,41,1
1,42,1
1,43,1
1,44,1
1,45,1
1,46,1
1,47,0
2,0,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,7,0
2,8,1
2,9,0
2,10,1
2,11,0
2,12,1
2,13,0
2,14,0
2,15,0
2,16,1
2,17,0
2,19,1
2,20,0
2,21,0
2,22,0
2,23,0
2,24,0
2,25,0
2,26,1
2,28,0
2,29,1
2,30,1
2,31,1
2,32,1
2,33,0
2,34,1
2,35,1
2,36,1
2,37,1
2,38,1
2,39,0
2,41,1
2,42,1
2,43,1
2,45,1
2,46,1
3,0,1
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,0
3,8,1
3,10,1
3,11,0
3,12,1
3,13,1
3,14,1
3,16,1
3,17,0
3,18,0
3,21,0
3,24,0
3,25,0
3,26,0
3,27,1
3,28,0
3,29,0
3,30,1
3,31,1
3,32,0
3,33,0
3,34,1
3,35,1
3,36,0
3,37,1
3,38,1
3,39,1
3,40,1
3,41,1
3,42,1
3,44,1
3,45,1
3,46,1
3,47,0
4,0,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,0
4,6,1
4,8,1
4,9,0
4,10,1
4,11,1
4,13,0
4,14,0
4,17,0
4,19,0
4,21,0
4,22,1
4,24,0
4,25,1
4,26,1
4,27,0
4,28,0
4,29,1
4,30,0
4,31,1
4,32,0
4,33,1
4,34,1
4,36,0
4,37,1
4,38,1
4,39,0
4,40,1
4,41,1
4,42,1
4,45,1
4,46,0
5,0,1
5,2,1
5,3,0
5,4,1
5,5,1
5,6,1
5,7,0
5,11,0
5,12,1
5,13,0
5,14,1
5,15,0
5,16,0
5,17,0
5,18,0
5,19,0
5,20,0
5,22,0
5,23,1
5,24,0
5,25,1
5,26,1
5,27,0
5,31,1
5,32,0
5,33,0
5,34,1
5,35,1
5,36,1
5,37,1
5,38,1
5,39,1
5,40,1
5,42,1
5,44,1
5,45,1
5,46,1
5,47,0
6,0,1
6,1,1
6,2,1
6,3,1
6,7,0
6,8,1
6,9,1
6,10,0
6,11,0
6,12,1
6,13,0
6,16,0
6,17,0
6,18,1
6,21,0
6,22,0
6,23,1
6,24,1
6,25,1
6,26,0
6,27,0
6,28,1
6,29,1
6,30,1
6,32,0
6,33,0
6,34,1
6,35,1
6,36,0
6,37,1
6,38,1
6,39,1
6,40,0
6,41,1
6,42,1
6,43,0
6,44,1
6,45,1
6,46,1
7,0,1
7,2,1
7,3,1
7,4,1
7,6,0
7,7,1
7,8,1
7,9,1
7,12,1
7,13,0
7,14,1
7,16,1
7,17,0
7,18,1
7,19,1
7,20,1
7,21,1
7,22,0
7,24,0
7,26,0
7,27,0
7,28,0
7,29,1
7,30,1
7,31,1
7,32,0
7,34,0
7,36,0
7,38,1
7,39,1
7,40,0
7,42,1
7,43,1
7,44,1
7,45,1
7,46,1
7,47,0
8,0,1
8,1,1
8,2,1
8,4,1
8,8,1
8,9,1
8,11,0
8,12,1
8,13,0
8,14,0
8,15,1
8,16,0
8,17,1
8,18,1
8,19,1
8,21,1
8,22,0
8,23,1
8,24,0
8,25,1
8,26,0
8,27,0
8,28,0
8,29,0
8,30,0
8,31,1
8,32,1
8,34,1
8,35,1
8,36,0
8,37,1
8,38,1
8,39,1
8,40,1
8,41,1
8,42,1
8,45,1
8,46,1
9,1,0
9,2,0
9,4,0
9,5,1
9,6,0
9,7,0
9,8,0
9,10,0
9,11,0
9,12,0
9,13,0
9,14,0
9,15,1
9,16,1
9,17,1
9,18,1
9,19,0
9,20,1
9,21,1
9,22,0
9,23,0
9,24,0
9,25,1
9,26,0
9,27,0
9,28,0
9,29,0
9,30,0
9,31,0
9,32,1
9,33,0
9,34,1
9,35,1
9,36,0
9,37,1
9,39,1
9,42,1
9,43,0
9,44,1
9,46,1
9,47,0
10,1,1
10,2,0
10,3,0
10,4,0
10,5,1
10,6,1
10,7,0
10,9,0
10,10,0
10,11,0
10,12,1
10,13,1
10,14,1
10,15,1
10,16,1
10,17,1
10,18,1
10,19,1
10,20,1
10,21,1
10,22,0
10,24,0
10,25,1
10,26,0
10,27,0
10,28,0
10,30,0
10,32,0
10,33,0
10,34,0
10,35,0
10,38,1
10,39,1
10,41,1
10,43,0
10,44,1
10,46,1
10,47,0
11,0,1
11,2,1
11,3,0
11,4,0
11,5,1
11,6,1
11,7,0
11,8,0
11,9,1
11,10,0
11,11,0
11,12,0
11,13,1
11,14,1
11,15,1
11,16,1
11,17,1
11,18,0
11,19,0
11,20,1
11,21,1
11,22,0
11,23,0
11,24,0
11,25,1
11,26,0
11,28,0
11,32,0
11,34,0
11,36,0
11,37,1
11,38,1
11,39,1
11,41,1
11,42,1
11,43,0
11,44,1
11,45,1
11,46,0
11,47,0
12,0,0
12,1,0
12,2,0
12,5,1
12,6,0
12,7,1
12,8,0
12,10,0
12,12,0
12,13,1
12,14,1
12,15,1
12,16,1
12,17,1
12,18,1
12,19,1
12,20,1
12,21,1
12,22,0
12,25,1
12,26,0
12,28,0
12,29,1
12,31,0
12,32,0
12,35,1
12,36,1
12,37,1
12,38,1
12,39,1
12,41,1
12,42,1
12,44,1
12,45,1
12,46,0
13,0,0
13,3,0
13,4,1
13,5,1
13,6,1
13,8,1
13,9,1
13,11,1
13,13,1
13,14,1
13,15,1
13,16,1
13,17,1
13,18,1
13,19,1
13,21,1
13,22,0
13,25,1
13,27,1
13,29,1
13,32,0
13,33,0
13,35,1
13,36,1
13,37,1
13,38,1
13,39,1
13,40,1
13,41,1
13,42,1
13,43,0
13,44,1
13,46,0
13,47,0
14,1,1
14,2,0
14,3,0
14,4,1
14,5,1
14,7,1
14,8,1
14,9,1
14,10,1
14,11,1
14,13,1
14,14,1
14,15,1
14,16,1
14,17,1
14,18,1
14,19,1
14,20,1
14,21,1
14,22,0
14,23,1
14,25,1
14,29,1
14,30,0
14,32,0
14,34,1
14,35,1
14,36,1
14,37,1
14,38,1
14,39,1
14,40,1
14,41,1
14,42,0
14,43,0
14,46,0
14,47,0
15,0,0
15,1,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,0
15,8,0
15,9,0
15,11,1
15,13,1
15,14,1
15,15,1
15,16,1
15,17,1
15,18,1
15,19,1
15,20,1
15,21,1
15,22,0
15,23,1
15,25,1
15,27,1
15,28,0
15,29,1
15,30,0
15,31,1
15,32,0
15,33,1
15,34,0
15,35,0
15,36,0
15,37,0
15,38,0
15,39,0
15,40,0
15,43,0
15,44,1
15,45,0
15,46,0
15,47,1
16,0,0
16,1,1
16,3,0
16,4,0
16,5,1
16,6,0
16,7,0
16,8,0
16,9,0
16,11,1
16,13,1
16,14,1
16,15,1
16,16,1
16,17,1
16,20,1
16,21,1
16,22,0
16,23,1
16,27,1
16,28,0
16,29,0
16,30,0
16,32,0
16,34,0
16,35,0
16,36,0
16,37,0
16,38,0
16,39,1
16,40,1
16,42,1
16,44,0
16,46,0
16,47,0
17,0,0
17,2,0
17,3,0
17,4,1
17,5,1
17,6,1
17,7,1
17,9,1
17,10,1
17,11,1
17,13,0
17,14,1
17,15,1
17,16,1
17,17,1
17,18,1
17,19,1
17,20,1
17,21,1
17,23,1
17,25,1
17,27,1
17,28,0
17,29,1
17,30,0
17,31,1
17,32,0
17,33,1
17,35,1
17,36,1
17,38,1
17,39,1
17,40,1
17,41,1
17,43,0
17,44,1
17,47,1
18,0,0
18,1,1
18,4,0
18,5,1
18,6,1
18,7,1
18,8,0
18,9,1
18,10,1
18,11,1
18,12,1
18,13,1
18,14,1
18,15,1
18,16,1
18,17,1
18,18,1
18,19,1
18,20,1
18,21,1
18,23,1
18,25,1
18,26,0
18,27,1
18,28,0
18,29,1
18,31,1
18,32,0
18,34,1
18,35,1
18,36,1
18,37,1
18,38,1
18,39,1
18,40,1
18,41,1
18,42,0
18,43,1
18,45,0
18,47,1
19,0,0
19,1,1
19,2,0
19,3,0
19,5,1
19,6,1
19,9,1
19,10,1
19,11,1
19,12,1
19,13,1
19,14,1
19,15,1
19,16,1
19,17,1
19,18,1
19,19,1
19,20,1
19,21,1
19,23,1
19,25,1
19,26,0
19,27,1
19,28,0
19,29,1
19,30,0
19,31,1
19,32,0
19,33,1
19,34,1
19,35,1
19,36,1
19,37,1
19,38,1
19,39,1
19,40,1
19,41,1
19,43,1
19,44,1
19,45,0
19,46,0
20,0,0
20,1,1
20,3,1
20,4,1
20,5,1
20,8,1
20,9,1
20,10,1
20,11,1
20,12,1
20,13,1
20,14,1
20,15,1
20,16,1
20,17,1
20,18,1
20,19,1
20,20,1
20,21,1
20,23,1
20,25,1
20,26,0
20,27,1
20,28,0
20,29,1
20,30,0
20,31,1
20,32,0
20,33,1
20,34,1
20,35,1
20,36,1
20,37,1
20,38,1
20,39,1
20,40,1
20,41,1
20,43,1
20,45,0
20,47,1
21,1,1
21,5,1
21,6,1
21,7,1
21,8,1
21,9,1
21,10,1
21,11,1
21,12,1
21,13,1
21,14,1
21,15,1
21,16,1
21,17,1
21,18,1
21,19,1
21,20,1
21,21,1
21,23,1
21,25,1
21,26,0
21,27,1
21,28,0
21,29,1
21,30,0
21,31,1
21,32,0
21,33,1
21,34,1
21,35,1
21,36,1
21,37,1
21,38,1
21,39,1
21,40,1
21,41,1
21,44,0
21,45,0
21,46,0
21,47,1
22,0,0
22,1,1
22,3,1
22,4,1
22,5,1
22,6,1
22,7,1
22,9,1
22,10,1
22,11,1
22,12,1
22,13,1
22,14,1
22,15,1
22,16,1
22,17,1
22,18,1
22,19,1
22,21,1
22,23,1
22,25,1
22,26,0
22,27,1
22,28,0
22,29,1
22,30,0
22,31,1
22,32,0
22,33,1
22,34,1
22,35,1
22,36,1
22,37,1
22,38,1
22,39,1
22,40,1
22,41,1
22,42,1
22,43,1
22,44,1
22,45,0
22,46,0
22,47,1
23,0,0
23,1,1
23,4,1
23,5,1
23,6,1
23,7,1
23,8,1
23,9,1
23,10,1
23,11,1
23,12,1
23,13,1
23,14,1
23,15,1
23,16,1
23,17,1
23,18,1
23,19,1
23,21,1
23,23,1
23,25,1
23,26,0
23,27,1
23,28,0
23,29,1
23,30,0
23,31,1
23,32,0
23,33,1
23,34,1
23,35,1
23,36,1
23,37,1
23,38,1
23,39,1
23,40,1
23,41,1
23,42,1
23,43,1
23,44,1
23,45,1
23,46,0
23,47,1
24,1,1
24,3,1
24,4,1
24,5,1
24,6,1
24,7,1
24,8,1
24,9,1
24,10,1
24,11,1
24,12,1
24,13,1
24,14,1
24,15,1
24,16,1
24,17,1
24,18,1
24,19,1
24,21,1
24,23,1
24,24,0
24,25,1
24,26,0
24,27,1
24,28,0
24,29,1
24,30,0
24,31,1
24,32,0
24,33,1
24,34,1
24,35,1
24,36,1
24,37,0
24,38,0
24,39,0
24,40,1
24,41,1
24,42,0
24,43,0
24,44,0
24,45,1
24,46,0
24,47,1
25,0,1
25,1,1
25,2,1
25,3,1
25,4,1
25,5,1
25,6,1
25,7,1
25,8,1
25,9,1
25,10,1
25,11,1
25,12,1
25,13,1
25,14,1
25,15,1
25,16,1
25,17,1
25,23,1
25,25,1
25,26,0
25,27,1
25,28,0
25,29,1
25,30,0
25,31,1
25,32,0
25,33,1
25,34,1
25,35,1
25,36,1
25,37,1
25,38,1
25,39,1
25,40,1
25,41,1
25,42,1
25,43,1
25,44,0
25,45,0
25,47,1
26,0,1
26,1,1
26,2,1
26,3,1
26,4,1
26,5,1
26,6,1
26,7,1
26,8,1
26,9,1
26,10,1
26,11,1
26,12,1
26,13,1
26,14,1
26,15,1
26,16,1
26,17,1
26,18,1
26,19,1
26,21,1
26,23,1
26,25,1
26,26,0
26,27,1
26,28,0
26,29,1
26,30,0
26,31,1
26,32,0
26,33,1
26,34,1
26,35,1
26,36,1
26,37,1
26,38,1
26,39,1
26,40,1
26,41,1
26,42,1
26,43,1
26,47,1
27,1,1
27,2,1
27,3,1
27,4,1
27,5,1
27,6,1
27,7,1
27,8,1
27,9,1
27,10,1
27,11,1
27,12,1
27,13,1
27,14,1
27,15,1
27,16,1
27,17,1
27,18,1
27,19,1
27,21,1
27,23,1
27,25,1
27,26,0
27,27,1
27,28,0
27,29,1
27,30,0
27,31,1
27,32,1
27,33,1
27,34,1
27,35,1
27,36,1
27,37,1
27,38,1
27,39,1
27,40,1
27,41,1
27,42,1
27,43,1
27,44,1
27,45,0
27,46,0
27,47,1
28,0,1
28,1,1
28,2,1
28,3,1
28,4,1
28,5,1
28,6,1
28,7,1
28,8,1
28,9,1
28,10,1
28,11,1
28,12,1
28,13,1
28,14,1
28,15,1
28,18,1
28,19,1
28,21,1
28,25,1
28,26,0
28,27,1
28,28,0
28,29,1
28,30,0
28,31,1
28,32,1
28,33,1
28,34,1
28,35,1
28,36,1
28,37,1
28,38,0
28,39,1
28,40,1
28,41,1
28,42,1
28,44,1
28,45,0
28,46,1
28,47,1
29,0,0
29,1,1
29,2,1
29,3,1
29,4,1
29,5,1
29,6,1
29,7,1
29,8,1
29,9,1
29,10,1
29,11,1
29,12,1
29,13,1
29,14,1
29,15,1
29,16,1
29,17,1
29,18,1
29,19,1
29,21,1
29,23,1
29,25,1
29,26,0
29,27,1
29,28,0
29,29,1
29,30,0
29,31,1
29,32,1
29,33,1
29,34,1
29,35,1
29,36,1
29,37,1
29,38,0
29,39,1
29,40,1
29,41,1
29,42,1
29,44,1
29,45,0
29,46,1
29,47,1
30,1,1
30,3,1
30,4,1
30,5,1
30,6,1
30,7,1
30,8,1
30,9,1
30,10,1
30,11,1
30,12,1
30,13,1
30,14,1
30,15,1
30,16,1
30,17,1
30,18,1
30,19,1
30,21,1
30,23,1
30,25,1
30,27,1
30,28,0
30,29,1
30,30,0
30,31,1
30,32,1
30,33,1
30,34,1
30,35,1
30,36,1
30,37,1
30,38,1
30,39,1
30,41,0
30,42,1
30,43,1
30,44,1
30,45,1
30,46,1
30,47,1
31,0,1
31,1,1
31,2,1
31,3,1
31,4,1
31,5,1
31,6,1
31,7,1
31,8,1
31,9,1
31,10,1
31,11,1
31,12,1
31,13,1
31,14,1
31,15,1
31,16,1
31,17,1
31,21,1
31,23,1
31,25,0
31,26,0
31,27,1
31,28,0
31,29,1
31,31,1
31,33,1
31,34,1
31,35,1
31,36,1
31,37,1
31,38,1
31,39,1
31,41,1
31,42,1
31,43,1
31,44,1
31,45,1
31,46,1
31,47,1
32,1,1
32,3,1
32,4,0
32,5,1
32,6,1
32,7,1
32,8,1
32,9,1
32,10,1
32,11,1
32,12,1
32,13,1
32,14,1
32,15,1
32,16,1
32,17,1
32,18,1
32,19,1
32,21,1
32,23,1
32,24,0
32,25,1
32,26,0
32,27,1
32,28,0
32,29,1
32,30,0
32,32,0
32,33,1
32,34,1
32,35,1
32,36,1
32,37,1
32,39,1
32,40,1
32,41,1
32,42,1
32,43,0
32,45,0
32,46,0
32,47,1
33,0,1
33,1,1
33,2,1
33,4,1
33,5,1
33,6,1
33,7,1
33,8,1
33,9,1
33,10,1
33,11,1
33,12,1
33,13,1
33,14,1
33,15,1
33,16,1
33,17,1
33,18,1
33,19,1
33,21,1
33,23,1
33,24,0
33,25,1
33,26,0
33,27,1
33,28,0
33,29,1
33,30,0
33,31,1
33,32,0
33,33,1
33,34,1
33,35,1
33,36,1
33,37,1
33,38,0
33,39,1
33,40,1
33,41,1
33,42,1
33,43,0
33,44,1
33,45,0
33,47,1
34,1,1
34,2,1
34,5,1
34,6,1
34,7,1
34,8,1
34,9,1
34,10,1
34,11,1
34,12,1
34,13,1
34,14,1
34,15,1
34,16,1
34,17,1
34,18,1
34,19,1
34,23,1
34,24,0
34,25,0
34,26,0
34,27,1
34,28,0
34,29,0
34,30,0
34,31,1
34,32,0
34,34,0
34,35,1
34,36,1
34,37,1
34,38,0
34,39,1
34,40,1
34,41,1
34,42,1
34,43,0
34,45,0
34,46,0
34,47,1
35,0,1
35,1,1
35,3,1
35,4,1
35,5,1
35,6,1
35,7,1
35,8,1
35,9,1
35,10,1
35,11,1
35,12,1
35,13,1
35,14,1
35,15,1
35,16,1
35,17,1
35,18,1
35,19,1
35,21,1
35,22,0
35,23,1
35,24,0
35,25,1
35,26,0
35,27,1
35,28,0
35,29,1
35,30,0
35,31,1
35,32,0
35,33,1
35,34,0
35,35,1
35,36,1
35,37,1
35,38,1
35,39,0
35,40,1
35,41,1
35,42,0
35,43,1
35,44,0
35,46,0
35,47,1
36,2,1
36,4,0
36,5,1
36,6,1
36,7,1
36,8,1
36,9,1
36,10,1
36,11,1
36,14,1
36,15,1
36,16,1
36,17,1
36,18,1
36,19,1
36,20,1
36,21,1
36,23,1
36,24,0
36,25,1
36,26,0
36,27,1
36,28,0
36,29,1
36,30,0
36,31,1
36,32,0
36,33,1
36,34,0
36,35,1
36,36,1
36,37,1
36,38,1
36,39,1
36,41,1
36,42,1
36,44,1
36,47,1
37,1,1
37,3,1
37,4,1
37,5,1
37,6,0
37,7,1
37,8,1
37,9,1
37,10,1
37,11,1
37,12,1
37,13,1
37,14,1
37,15,1
37,16,1
37,17,1
37,18,1
37,19,1
37,20,1
37,21,1
37,22,0
37,23,1
37,24,0
37,25,1
37,26,0
37,27,1
37,28,0
37,29,1
37,30,0
37,31,1
37,32,0
37,33,1
37,34,0
37,35,1
37,36,1
37,37,1
37,38,1
37,39,0
37,40,1
37,41,1
37,42,0
37,43,1
37,44,1
37,46,0
37,47,1
38,3,0
38,5,1
38,6,1
38,7,0
38,8,1
38,9,1
38,10,1
38,11,1
38,12,1
38,13,1
38,14,1
38,15,1
38,16,1
38,17,1
38,18,1
38,19,1
38,20,1
38,21,1
38,22,0
38,23,1
38,24,0
38,25,1
38,26,0
38,27,1
38,28,0
38,29,1
38,31,1
38,32,0
38,33,1
38,34,0
38,35,1
38,36,1
38,37,1
38,38,1
38,39,0
38,40,1
38,41,1
38,42,0
38,43,1
38,47,1
39,1,1
39,3,0
39,4,0
39,5,1
39,6,1
39,7,0
39,8,1
39,9,1
39,10,1
39,11,1
39,12,1
39,13,1
39,14,1
39,15,1
39,16,1
39,17,1
39,18,1
39,19,1
39,20,1
39,21,1
39,22,0
39,23,1
39,24,0
39,25,1
39,26,0
39,27,1
39,28,0
39,29,1
39,31,1
39,32,0
39,33,1
39,34,0
39,35,1
39,36,0
39,37,1
39,38,1
39,39,1
39,40,1
39,41,1
39,42,1
39,43,1
39,44,1
39,45,1
39,46,0
40,2,0
40,4,0
40,5,1
40,6,1
40,7,0
40,8,1
40,9,1
40,10,1
40,11,1
40,12,1
40,13,1
40,14,1
40,15,1
40,16,1
40,17,1
40,18,1
40,19,1
40,21,1
40,22,0
40,23,1
40,24,0
40,25,1
40,26,0
40,27,1
40,28,0
40,29,0
40,31,1
40,32,0
40,33,1
40,34,0
40,35,1
40,36,0
40,37,1
40,38,1
40,39,1
40,40,0
40,41,0
40,42,1
40,43,1
40,44,1
40,47,1
41,0,0
41,2,0
41,3,0
41,4,1
41,5,1
41,9,1
41,10,1
41,11,1
41,12,1
41,13,1
41,14,1
41,15,1
41,16,1
41,17,1
41,18,1
41,19,1
41,20,1
41,21,1
41,22,0
41,23,1
41,24,0
41,25,1
41,26,0
41,27,1
41,28,0
41,29,1
41,30,0
41,31,1
41,32,0
41,33,1
41,34,0
41,35,1
41,36,0
41,37,1
41,38,1
41,40,1
41,41,1
41,42,0
41,43,1
41,44,1
41,45,1
41,47,1
42,0,0
42,1,1
42,3,0
42,5,1
42,6,0
42,7,0
42,9,1
42,10,1
42,11,1
42,12,1
42,13,1
42,14,1
42,15,1
42,16,1
42,17,1
42,18,1
42,19,1
42,20,1
42,21,1
42,22,0
42,24,0
42,25,1
42,26,0
42,27,1
42,28,0
42,29,1
42,30,0
42,31,1
42,32,0
42,34,0
42,35,1
42,36,0
42,37,1
42,39,1
42,42,1
42,43,1
42,44,1
42,45,1
42,46,1
42,47,1
43,0,0
43,1,1
43,2,1
43,3,0
43,4,0
43,6,0
43,7,0
43,8,0
43,9,1
43,10,1
43,11,1
43,12,1
43,13,1
43,14,1
43,15,1
43,16,1
43,17,1
43,18,1
43,19,1
43,20,1
43,21,1
43,22,0
43,23,1
43,24,0
43,25,1
43,26,0
43,27,1
43,28,0
43,29,1
43,30,0
43,31,1
43,32,0
43,34,0
43,35,1
43,36,0
43,37,1
43,40,1
43,41,1
43,42,1
43,43,1
43,44,1
43,45,1
43,47,1
44,0,0
44,2,1
44,3,0
44,4,0
44,5,1
44,6,1
44,7,0
44,8,0
44,9,1
44,10,1
44,11,1
44,12,1
44,13,1
44,14,1
44,15,1
44,16,1
44,17,1
44,18,1
44,19,1
44,20,1
44,21,1
44,22,0
44,23,1
44,24,0
44,25,1
44,26,0
44,27,1
44,28,0
44,29,1
44,30,0
44,31,1
44,32,0
44,33,1
44,34,0
44,35,1
44,36,0
44,39,1
44,40,1
44,41,1
44,43,1
44,44,1
44,45,1
44,46,1
44,47,1
45,0,0
45,1,1
45,2,1
45,4,1
45,5,1
45,9,1
45,10,1
45,11,1
45,12,1
45,13,1
45,14,1
45,15,1
45,16,1
45,17,1
45,18,1
45,19,1
45,20,1
45,21,1
45,22,0
45,23,1
45,24,0
45,25,1
45,26,0
45,28,0
45,29,1
45,30,0
45,31,1
45,32,0
45,34,0
45,35,1
45,36,0
45,37,1
45,39,0
45,40,1
45,41,1
45,43,1
45,44,1
45,45,0
45,46,1
45,47,1
46,0,0
46,1,0
46,2,1
46,3,0
46,4,0
46,5,1
46,6,1
46,7,0
46,8,1
46,9,1
46,12,1
46,13,1
46,14,1
46,15,1
46,16,1
46,17,1
46,18,1
46,19,1
46,20,1
46,21,1
46,22,0
46,24,0
46,25,1
46,26,0
46,28,0
46,29,0
46,30,0
46,31,1
46,32,0
46,34,0
46,36,0
46,40,1
46,41,1
46,42,1
46,43,0
46,44,1
46,45,1
46,46,1
46,47,1
47,0,1
47,1,0
47,5,1
47,7,1
47,8,0
47,9,1
47,10,1
47,11,1
47,12,1
47,13,1
47,14,1
47,15,1
47,16,1
47,17,1
47,18,1
47,19,1
47,20,1
47,22,0
47,24,0
47,25,1
47,26,0
47,27,1
47,28,0
47,29,1
47,30,0
47,31,0
47,32,0
47,34,0
47,35,1
47,36,0
47,37,0
47,38,0
47,39,1
47,40,1
47,41,1
47,42,0
47,43,1
47,44,1
47,45,0
47,46,1
47,47,1
48,0,0
48,2,0
48,5,1
48,6,1
48,7,1
48,8,0
48,9,1
48,10,1
48,11,1
48,12,1
48,13,1
48,14,1
48,15,1
48,16,1
48,17,1
48,18,1
48,19,1
48,20,1
48,21,1
48,22,0
48,24,0
48,25,1
48,26,0
48,27,0
48,28,0
48,29,1
48,30,0
48,31,1
48,32,0
48,33,0
48,34,0
48,36,0
48,37,1
48,38,0
48,39,1
48,40,1
48,41,1
48,42,0
48,44,1
48,45,1
48,46,1
48,47,1
49,1,1
49,3,0
49,5,0
49,6,1
49,7,0
49,8,0
49,10,1
49,11,1
49,12,1
49,13,1
49,14,1
49,15,1
49,16,1
49,17,1
49,18,1
49,19,1
49,20,1
49,21,1
49,22,0
49,23,1
49,24,0
49,25,1
49,26,0
49,27,0
49,28,0
49,29,0
49,30,0
49,32,0
49,33,1
49,34,0
49,35,0
49,36,0
49,37,0
49,38,0
49,40,1
49,41,1
49,42,0
49,43,1
49,44,1
49,45,1
49,46,1
49,47,1
50,0,0
50,1,0
50,2,0
50,3,0
50,4,0
50,5,1
50,6,1
50,7,1
50,8,1
50,9,1
50,10,1
50,11,1
50,12,1
50,13,1
50,14,1
50,15,1
50,16,1
50,17,1
50,18,1
50,19,1
50,20,1
50,21,1
50,22,0
50,23,1
50,24,0
50,26,0
50,27,1
50,28,0
50,29,1
50,30,0
50,31,0
50,32,0
50,33,1
50,34,0
50,35,1
50,36,0
50,38,0
50,39,0
50,40,1
50,41,1
50,42,0
50,43,1
50,44,1
50,45,1
50,46,1
50,47,1
51,0,0
51,2,0
51,3,0
51,4,0
51,5,1
51,6,0
51,7,1
51,8,1
51,9,1
51,10,1
51,12,0
51,14,0
51,15,1
51,16,1
51,17,1
51,18,1
51,20,1
51,21,1
51,22,0
51,23,0
51,24,0
51,25,1
51,26,0
51,27,0
51,28,0
51,29,0
51,30,0
51,31,0
51,32,0
51,33,0
51,34,0
51,35,0
51,36,0
51,37,0
51,38,0
51,39,0
51,40,1
51,41,1
51,42,0
51,43,1
51,44,1
51,45,1
51,46,1
51,47,1
52,0,0
52,1,1
52,2,1
52,3,1
52,4,0
52,5,1
52,6,1
52,7,1
52,8,1
52,9,1
52,10,1
52,11,1
52,12,1
52,13,1
52,15,1
52,16,1
52,17,1
52,18,1
52,19,1
52,20,1
52,21,1
52,22,0
52,23,0
52,24,0
52,26,0
52,27,1
52,28,0
52,29,0
52,30,0
52,31,0
52,32,0
52,33,0
52,34,0
52,35,0
52,36,0
52,37,0
52,38,0
52,39,0
52,40,1
52,41,1
52,43,1
52,44,1
52,45,1
52,46,1
52,47,1
53,0,1
53,1,1
53,2,1
53,3,1
53,4,1
53,5,1
53,6,1
53,7,1
53,8,1
53,9,1
53,10,1
53,11,1
53,12,1
53,13,1
53,14,0
53,15,1
53,16,1
53,17,1
53,18,1
53,19,1
53,20,1
53,21,0
53,22,0
53,23,1
53,24,0
53,25,0
53,26,0
53,27,0
53,28,0
53,29,0
53,30,0
53,31,0
53,32,0
53,33,0
53,34,0
53,35,0
53,36,0
53,37,0
53,38,0
53,39,1
53,40,1
53,41,1
53,42,1
53,43,1
53,44,1
53,45,1
53,46,1
53,47,1
